title,tmdbCode,type,tmdbTitle,matchConfidence
quarterback,220998,tv,Quarterback,1.8355
life on our planet,213609,tv,Life on Our Planet,3.6194
full speed,170550,movie,Full Speed,3.2646
america's sweethearts: dallas cowboys cheerleaders,252257,tv,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,2.1913
kaulitz & kaulitz,254721,tv,Kaulitz & Kaulitz,1.5949
starting 5,262955,tv,Starting 5,1.8815
aaron rodgers: enigma,270973,tv,Aaron Rodgers: Enigma,1.3163
the roshans,271406,tv,The Roshans,1.7278
american manhunt: o. j. simpson,282405,tv,American Manhunt: O.J. Simpson,1.0129
the greatest rivalry: india vs pakistan,247833,tv,The Greatest Rivalry: India vs Pakistan,0.7078
american murder: gabby petito,283197,tv,American Murder: Gabby Petito,2.1793
court of gold,282846,tv,Court of Gold,1.4407
gold & greed: the hunt for fenn's treasure,285380,tv,Gold & Greed: The Hunt for Fenn's Treasure,1.0548
gone girls: the long island serial killer,285084,tv,Gone Girls: The Long Island Serial Killer,1.6546
the clubhouse: a year with the red sox,282628,tv,The Clubhouse: A Year with the Red Sox,1.3067
bad influence: the dark side of kidfluencing,286338,tv,Bad Influence: The Dark Side of Kidfluencing,1.2924
race for the crown,288106,tv,Race for the Crown,0.2987
a tragedy foretold: flight 3054,287420,tv,A Tragedy Foretold: Flight 3054,0.5948
carlos alcaraz: my way,280885,tv,Carlos Alcaraz: My Way,0.5477
chef's table: legends,273212,tv,Chef's Table: Legends,0.8086
turning point: the vietnam war,286788,tv,Turning Point: The Vietnam War,1.2428
american manhunt: osama bin laden,283367,tv,American Manhunt: Osama bin Laden,1.7742
cold case: the tylenol murders,289486,tv,Cold Case: The Tylenol Murders,0.8145
f1: the academy,289742,tv,F1: The Academy,1.4348
power moves with shaquille o'neal,290865,tv,Power Moves with Shaquille O'Neal,0.8715
off road,294191,tv,Off Road,0.9152
amy bradley is missing,294726,tv,Amy Bradley Is Missing,1.7538
critical: between life and death,259207,tv,Critical: Between Life and Death,1.095
wwe unreal,289485,tv,WWE: Unreal,2.4349
conversations with a killer: the son of sam tapes,294611,tv,Conversations with a Killer: The Son of Sam Tapes,0.4017
sec football: any given saturday,296069,tv,SEC Football: Any Given Saturday,0.9234
the echoes of survivors: inside korea's tragedies,290682,tv,The Echoes of Survivors: Inside Korea's Tragedies,1.2016
fit for tv: the reality of the biggest loser,296549,tv,Fit for TV: The Reality of the Biggest Loser,1.0252
america's team: the gambler and his cowboys,279942,tv,America's Team: The Gambler and His Cowboys,1.5203
katrina: come hell and high water,283354,tv,Katrina: Come Hell and High Water,1.426
love con revenge,297791,tv,Love Con Revenge,1.3135
matchroom: the greatest showmen,262279,tv,Matchroom: The Greatest Showmen,0.7639
nightmares of nature,298682,tv,Nightmares of Nature,2.1919
true haunting,300999,tv,True Haunting,4.466
mob war: philadelphia vs. the mafia,301498,tv,Mob War: Philadelphia vs. the Mafia,1.2338
marines,86630,movie,Marines,1.8219
sean combs: the reckoning,255251,tv,Sean Combs: The Reckoning,29.7882
awaiting release,,,,
simon cowell: the next act[132],,,,
queer eye,76922,tv,Queer Eye,9.6573
selling sunset,87826,tv,Selling Sunset,5.6598
love is blind,99353,tv,Love Is Blind,7.1206
love is blind: brazil,133356,tv,Love Is Blind: Brazil,1.9688
"young, famous & african",157717,tv,"Young, Famous & African",1.753
the ultimatum: marry or move on,169588,tv,The Ultimatum: Marry or Move On,0.9399
love on the spectrum,200731,tv,Love on the Spectrum,1.5327
rhythm + flow france,133784,tv,Rhythm + Flow France,1.161
selling the oc,139566,tv,Selling the OC,1.7573
dubai bling,213272,tv,Dubai Bling,0.9156
love never lies: poland,217309,tv,Love Never Lies: Poland,2.38
perfect match,254821,tv,Perfect Match,10.9899
too hot to handle: germany,219053,tv,Too Hot to Handle: Germany,1.8568
outlast,220115,tv,Outlast,1.3232
king of collectibles: the goldin touch,223663,tv,King of Collectibles: The Goldin Touch,0.7241
at home with the furys,230939,tv,At Home with the Furys,0.5599
the devil's plan,214582,tv,The Devil's Plan,4.7788
stranded with my mother-in-law,224330,tv,Stranded with My Mother-in-Law,2.6444
squid game: the challenge,204082,tv,Squid Game: The Challenge,6.9377
love is blind: sweden,241140,tv,Love Is Blind: Sweden,2.1659
rhythm + flow italy,243202,tv,Rhythm + Flow Italy,1.0595
agents of mystery,240114,tv,Agents of Mystery,2.19
owning manhattan,255690,tv,Owning Manhattan,5.585
the boyfriend,255487,movie,The Boyfriend,0.0368
love is blind: uk,237316,tv,Love Is Blind: UK,1.971
culinary class wars,245684,tv,Culinary Class Wars,5.4304
love is blind: argentina,275146,tv,Love Is Blind: Argentina,0.5003
rugged rugby: conquer or die,260566,tv,Rugged Rugby: Conquer or Die,0.9611
love is blind: germany,253030,tv,Love Is Blind: Germany,0.7658
selling the city,255728,tv,Selling the City,0.8324
i am ilary,278701,tv,I Am Ilary,0.8457
w.a.g.s to riches,279991,tv,W.A.G.s to Riches,0.5227
celebrity bear hunt,279231,tv,Celebrity Bear Hunt,2.7615
offline love,282651,tv,Offline Love,0.9492
"with love, meghan",280976,tv,"With Love, Meghan",2.6713
million dollar secret,285205,tv,Million Dollar Secret,1.7136
kian's bizarre b&b,256355,tv,Kian's Bizarre B&B,0.768
pop the balloon live,287503,tv,Pop the Balloon LIVE,0.2414
battle camp,287366,tv,Battle Camp,0.6994
cheat: unfinished business,289458,tv,Cheat: Unfinished Business,0.4202
rhythm + flow: poland,288910,tv,Rhythm + Flow: Poland,0.2351
sneaky links: dating after dark,259354,tv,Sneaky Links: Dating After Dark,0.6447
too hot to handle: spain,292225,tv,Too Hot to Handle: Spain,1.1292
